clean_text,label_encoded
youve got a deal,8
i guess as i write here it seems plain finally to say the lack of serendipity of excitement and affection creativity and regard feeling valued are missing,6
i made her feel uncomfortable but i just hope she will treat me like usual,8
i do dread the thought of letting him go but when that last feeling is broke and all my love is gone i wont think twice i ll just be well over it and long gone,6
ive been feeling so productive recently sadly im not focus my energy where it needs to be,9
i have true genuine feelings about a girl when i ve decided that she is someone worth spending most or all of my time with when i have sex with her and look into her trusting eyes and feel something deep down in the pit of my soul i have an annoying habit that forms,7
another evening another cup of coffee,10
now i want ice cream but its so expensive,1
i keep these things predominantly for fix functions and will not arranged right now to create a style applying twelve months previous ingredients until i m feeling much more perverse than usual,3
i was describing it to the sales girl telling her that this year i am really excited by sparkles and glitter and i feel very festive,2
i feel so shocked and distressed to kno that now i am creating a space in which you feel a lack of saftey,10
my boyfriend promised to take me to see a game of tennis and rang saying he was going to the pub with some of his friends instead,0
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,4
i didn t mean to sound as though i feel offended i meant it as a joke guess people didn t get it haha,7
when i discovered that my girlfriend was going around with another boy,0
the breakup of a relationship after the event i was upsetsad then angry maybe weeks later,9
i feel very surprised now that someone actually can feel that way for me,10
mom is about to walk in the door any minute,10
i feeling this way to you lover is because being in love amp staying faithful is such a heavy price if youre not the typical taurus i was hoping for,6
i feel this like frantic ness if that s a word like each of those things is the priority and really should be done rightthissecond,7
ive been feeling oddly melancholy today for a number of reasons that i can perceive,9
i don t understand why you feel so offensively ugly she said handing me back the paper,7
i didn t feel like i acted liked a stupid careless person by walking alone at night,7
i am a twenty something and therefore all the twenty something articles seem relevant to me or if it is actually trendy but either way i feel there has been an explosion of content for by about and catered to twenty somethings in the last few months,4
i lets out a contented sigh at the contact that s the joy have having three girlfriends there are so many hands so many lips it s impossible to feel discontent when they re all touching you at once,4
sad that i wont see deb for two days,9
i strongly feel should be more popular in education especially in english courses,7
ive taught workshops and written how to books i feel funny calling myself a teacher,3
i remembered coming home after work one night and feeling eager to get on my knees and pray because there were things in my heart i need to tell god openly,2
i sit up in this beautiful comfortable and spacious bed peacefully alone i feel a bit groggy and slightly confused,8
i feel is slightly urghs approaches me and is friendly i m like okay i don t want to communicate too much with you or you will end up following me around,7
not a fan of the bulmers but the magners pear is awesome i want slush puppy though hurryup classy omgimpatient,3
i was having a rough week not feeling too well and not the best of times at therapy,7
i feel and eager to leave because of the embarrassment that grew up around my ankles pulling me down into an emotional girl that has no problems earth shattering or news breaking,2
i am feeling dull pain even after he has filled it and the novacaine has worn off typical or not,7
i am happy i moved feel invigorated in late middle age by a new way of life and do not seriously think about moving permanently back up north,4
i feel excited when they have a success and feel their pain when they face a road block,2
check out a great article highlighting the team serving at harper woods middle school education service,4
your mail server just rejected a simple plain reply to you as potential spamvirus threat not good,9
today has been so good finished a design final project had noodles and cold stone looked a christmas lights and wrapped gifts,4
i always feel people are surprised when they work with one of us and find that we can in fact model very well,10
im feeling super motivated right now and i gonna get started on my aap revision because theres a lecture quiz tmrw and ive to pass it i need to try do my best for it,7
i feel wronged i miss you and i want to embrace a href http www,7
i feel so sentimental,7
i should be feeling content and happy after a lovely trip out with my boy and a break from the norm,6
better than nodding off when youre quotinquot one lol,9
she does especially pink ones lol what beautiful creatures they are,4
my aunt and cousins showed up to my house early  d i love them  im so excitedd now,10
i feel fully enraged each time i see another keep calm and poster,0
i take a unscheduled sit down at the very lovely greenland dock and realised getting a bit lost around pepys estate under the blazing sun has put me behind on time and left me feeling a bit hot and bothered,6
i think about the past the types of things they did i feel angry but then again that is my feeling,0
about to go down is having a bad sports day,4
“ i believe some people find in trying to start arguments ”,4
i feel eager to get back out there,2
i feel maybe try to be a little bit more energetic and happy to be dating a guy and less bitchy,4
i understand how it feels to be a little angry towards god the bishop the ward whomever you choose,0
i watch knights ride into battle and spaceships breaching the final frontier and masterminds solving crimes and i feel content to be a part of worlds that do not exist,4
i feel so joyful,3
okaii cool i cant wait for the series to begin its guna be awesome x,9
i have been incredibly fortunate that this year not only have i paid off this years list which was a substantial amount but i have also begun paying for things off next years list so am feeling really pleased with how things are going,8
going to stc tomorrow with mom and brother  lol,4
i want my friends only to feel joyful and hopeful for me,3
i felt bad for calling warren a dick and i didnt want to hurt his feelings or make him think i hated him,5
youre in london wow im near there,10
i feel miserable irritable sad deprived exhausted drained and riddled with anxiety,9
i would feel myself being a little bit repressed in my creativity and ideas would not come to me as easily,7
wow you are sharing some of my long list,10
after the loss of a close relative,7
watch me crash that shit,10
i would be a pauper during breakfast but then i would starve at the middle of the day so i would eat like a prince at lunch and a king with a big appetite at night because i feel deprived,7
i travelled from being terrified to enjoying feeling our turn on with women before working together with bryan i was scared of having sexual feelings around ladies and definitely around women i got attracted to,4
i love feeling brave i love loving myself i love making choices as if i love myself i believe in myself,6
i find that when i read non fiction i am even more demanding not only do books have to be well written but i really need them to have content that feels valuable to me,4
i feel like this was in a way but with a few pleasant surprises because it wasnt exactly the same as the last time,10
i was feeling really discouraged,0
i realized that i was smiling and feeling joyful i was pleasantly surprised at my reaction,10
i say in my website if not now then when don t wait until tomorrow to start feeling joyful choose to feel joyful today no matter where you are or what you are doing,3
i wanted to be angrier i wanted to feel more hated more useless,5
just got reminded that i have to get to work in an hour feel coming soon,0
i don t believe all men are rapists and i know that the vast majority of men are bloody lovely blokes but i am feeling outraged right now,6
i feel i had to learn on my own that i m surprised isn t taught in school and that is people don t teach story structure properly in school,10
i feel completely heartbroken,7
