clean_text,label_encoded
lt get me one of those and maybe next time,4
i often have the urge to say hi to people that i recognize from somewhere but they really dont know me either it was in a big group or maybe ive just seen them so many times in passing that i feel like i should know them and be friendly when i do i get weird looks like who in the world are you,7
i feel still so unloved alone and worse than anybody else,6
i feel greedy with my thoughts and it is a relief to let them linger,8
i unexpectedly met a girl with whom i have always got along well  i had not seen her for several months,4
look for it yourself  please  kinda busy here  daniel,0
i was actually on time to school today,10
i was pretty good at sipping at the water but my left quad was feeling funny around the half way point,3
im not feeling discouraged either,0
im feeling helpless if only there was a way to bypass their concerns,9
the more towards the past u carry in ya heartd less capable you are of loving in ya ning pals,0
thank you so much,4
i feel a little bit funny about the idea of a ship based on legitimate subtext and chemistry being lumped into the same group as total crack,3
i encourage you to discuss any bothersome paroxysmal symptoms you have with your ms professional and feel reassured that you are not going crazy,0
first night of break and im working,10
i could feel his eye twitch in annoyance he hated when humans got snippy with him,5
ill try it again when im feeling less emotional or maybe limit application to mount yeast ball when it makes yet another fabulous appearance on the right side of my chin,7
thankfully that face only shows up for photoshoots,8
i am not allowed to ink my skin and i was feeling a little rebellious i finally used my dusty eyeliner for something functional,3
brother provoked anger it was when mother and father were away and we had to look after ourselves he accused me of being selfish and a snob,0
i had loved someone though he didn t love me back and all the experiences had all ended with me feeling humiliated and worthless because the affection wasn t returned,6
is addicted to the pet society app on facebook,3
haha so my  little cousin didnt know we are celebrating their birthday today,10
quotyeah them men love them blowjobsquot something you never want to hear your grandma say over breakfast talkin about charles barkley,10
im not angry i just want to be able to feel valued appreciated and wanted,0
i continued to labor in the tub and then started to feel really uncomfortable,8
its getting really windy out there,9
i step into the vatican basilica with its austere stone and enormous size i instantly feel intimidated,7
i think she looks beautiful in her new designer glasses there may be times when she could feel more confident without them,7
aww how cute youd love my bathroom,3
i am very impressed with this product my skin feels radiant and has restored my love for facial exfoliators,6
i want him to be happy even that means i will never be able to feel his gentle touch ever again and i will crave with the need of it for the rest of my life,4
i know what i am feeling inside sad,9
i was completely overwhelmed really and they made me feel so special and loved i am honoured to be surrounded by such wonderful women,6
i feel only when i pick up the camera and press the shutter will i feel assured,7
i smile and feel hateful towards people who gawk at me and say stupid shit,5
im feeling in the mood to go fishing with this hot weather im thinking late october,7
i have already cried and got angry and feeling resentful at sathsang,0
i think and feel i am a sincere woman therefore my imaginations about love seem naive probably,6
is skyping with family,8
i will trust god fill the prescription take the pill when i feel overwhelmed by anxiety giving me an advantage so that i can overcome my anxiety handicap then i can continue to trust and find peace in his presence,9
im glad that part of it is over but i cant help feeling a remorseful nauseated feeling,7
ive experienced going to bed with a good night text from you and woke up the next day feeling like im contented with life,4
he even telephoned wexford to tell him about it  his elation subsiding somewhat when he heard the chief inspector had also found this out three hours before,4
the only thing i could think of during training was quotahh my teeth hurtquot cold warm amp wind hurts so on my way to the dentist,9
goin to bed wsmokey,1
i feel so funny today,3
i hate the way after hours of searching for something i always seem to leave feeling dissatisfied,5
i feel dumb but happy,4
i would give anything to stop feeling loyal enough so i could finally feel some real release,8
my previous tweet was a lie by,10
im dreading getting back to real life ltlt me too,9
i first began to feel one gracious sensation,7
i want to stand up and speak out so hopefully people like me can stop hiding who they are stop being afraid and just be happy and feel accepted she said,4
dont be fooled by my beautiful face i am a raging beast,0
youtube not working,9
